"param","estimate","lower_bound","upper_bound","model"
"rum_int=~RUMXSc_17",0.726656308327579,0.689782776637153,0.763529840018005,"fiml"
"rum_int=~RUMXSc_18",0.746721044502076,0.710262815969274,0.783179273034877,"fiml"
"rum_int=~RUMXSc_19",0.7463881786741,0.704591322219287,0.788185035128914,"fiml"
"rum_int=~RUMXSc_20",0.740064431511347,0.69050243734545,0.789626425677243,"fiml"
"rum_slope=~RUMXSc_18",0.11905418183887,0.0557079108617905,0.18240045281595,"fiml"
"rum_slope=~RUMXSc_19",0.238002222116301,0.111099480062406,0.364904964170196,"fiml"
"rum_slope=~RUMXSc_20",0.353978635195893,0.162352622459777,0.545604647932009,"fiml"
"mj_int=~nadu_mj_18",0.972883262164425,0.87923888981252,1.06652763451633,"fiml"
"mj_int=~nadu_mj_19",0.897562054878962,0.82763921573043,0.967484894027494,"fiml"
"mj_int=~nadu_mj_20",0.856706915016705,0.789364952730727,0.924048877302683,"fiml"
"mj_slope=~nadu_mj_18",-0.746166286001182,-0.941566974133655,-0.550765597868709,"fiml"
"mj_slope=~nadu_mj_19",-0.34419882168321,-0.429466986956523,-0.258930656409896,"fiml"
"rum_int~smw",0.0281653369147118,-0.0260736983512829,0.0824043721807065,"fiml"
"rum_slope~smw",0.0508853678638295,-0.102136768320369,0.203907504048028,"fiml"
"mj_slope~rum_int",-0.00576475243645397,-0.101186585088077,0.089657080215169,"fiml"
"mj_slope~rum_slope",-0.0278874156550649,-0.274282872775651,0.218508041465521,"fiml"
"mj_slope~smw",-0.0371960409958838,-0.143233741030204,0.0688416590384364,"fiml"
"mj_int~rum_int",0.102137374085631,0.0177271752546004,0.186547572916662,"fiml"
"mj_int~rum_slope",0.217039686646839,0.00423104769750696,0.429848325596171,"fiml"
"mj_int~smw",0.0998054073229089,0.00727015010663165,0.192340664539186,"fiml"
"rum_int~white",-0.0111758441906392,-0.066723547246067,0.0443718588647886,"fiml"
"rum_int~other",0.0113728074387654,-0.0502723969607701,0.073018011838301,"fiml"
"rum_slope~white",-0.07575739002727,-0.229322169457722,0.0778073894031816,"fiml"
"rum_slope~other",-0.0644533185685626,-0.248623332893404,0.119716695756279,"fiml"
"mj_int~white",-0.0501126575078471,-0.117096214049513,0.0168708990338184,"fiml"
"mj_int~other",0.0173335349826487,-0.0597763753105334,0.0944434452758309,"fiml"
"mj_slope~white",0.00143664843432535,-0.0764794011337977,0.0793526980024484,"fiml"
"mj_slope~other",-0.025275695811492,-0.112934108087075,0.0623827164640911,"fiml"
"smw~white",-0.0279172650290962,-0.070537777837071,0.0147032477788786,"fiml"
"smw~other",0.0431987179326118,-0.0120146737943509,0.0984121096595746,"fiml"
"white~1",0.837948249331146,0.804219710030633,0.871676788631659,"fiml"
"other~1",0.247328471694756,0.226301172704907,0.268355770684604,"fiml"
"white~~other",-0.207248456380764,-0.225112430748976,-0.189384482012552,"fiml"
"rum_int~~rum_slope",-0.294685718434059,-0.471003094283984,-0.118368342584134,"fiml"
"mj_int~~mj_slope",0.555374116585348,0.443277226095731,0.667471007074964,"fiml"
"rum_int~~rum_int",0.998845198023124,0.995036077774645,1.0026543182716,"fiml"
"rum_slope~~rum_slope",0.989578226380982,0.956324506739545,1.02283194602242,"fiml"
"mj_int~~mj_int",0.937672893228824,0.853852437983092,1.02149334847456,"fiml"
"mj_slope~~mj_slope",0.997085298452164,0.980566336520862,1.01360426038347,"fiml"
"smw~1",0.289293245979419,0.243258721354567,0.335327770604272,"fiml"
"RUMXSc_17~~RUMXSc_17",0.471970609567734,0.41838184001452,0.525559379120949,"fiml"
"RUMXSc_18~~RUMXSc_18",0.48003803505794,0.449285170010604,0.510790900105275,"fiml"
"RUMXSc_19~~RUMXSc_19",0.489775781616909,0.45250596500793,0.527045598225887,"fiml"
"RUMXSc_20~~RUMXSc_20",0.479658027244906,0.411344625184778,0.547971429305033,"fiml"
